Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
11302,9851.59,713.2843713,1153.883708,384148.0158,211281.4087,317960.7458,14834.10628,2.556071904,0.00251801,0.211168949,8.775657833,10.59805361,,
11303,9851.63,713.2872674,1138.440835,367414.5616,202078.0089,290408.4205,13513.56921,2.557091144,0.001864651,0.098718133,9.6575812,11.71107,,
11304,9851.67,713.2901635,1128.676406,374161.551,205788.853,294543.0647,13683.24637,2.557132557,0.001838104,0.095199247,9.297247486,11.25521313,,
11305,9851.71,713.2930596,1135.557418,375539.1466,206546.5306,296475.6574,13789.15911,2.557140849,0.001832789,0.09450394,9.224474038,11.1633332,,
11306,9851.75,713.2959558,1121.124268,336857.9938,185271.8966,264335.2532,12264.04879,2.556885149,0.001996699,0.117385579,11.37697423,13.90752625,,
11307,9851.77,713.2974038,817.4088918,304140.4477,167277.2462,199745.1202,8720.220534,2.556623996,0.002164105,0.143920727,13.40017946,16.53798219,,
11308,9851.83,713.301748,968.8117738,301788.0735,165983.4404,220714.5834,9956.259543,2.555420346,0.002935676,0.311417268,13.55393325,16.73995021,,
11309,9851.87,713.3046441,1096.389732,305062.0669,167784.1368,236845.0812,10941.5057,2.556632036,0.002158952,0.143054756,13.3402654,16.45935999,,
11310,9851.91,713.3075402,1159.37538,337249.295,185487.1122,268843.3921,12554.06558,2.556887997,0.001994874,0.117114063,11.35398519,13.87792458,,
11311,9851.95,713.3104364,1191.769405,339195.4568,186557.5013,273855.3147,12856.15996,2.556902076,0.001985849,0.11577757,11.24004251,13.73130146,,
11312,9851.99,713.3133325,1201.219714,358577.599,197217.6794,290550.9021,13660.70089,2.557034801,0.001900769,0.103630344,10.13967456,12.32336503,,
11313,9852.03,713.3162286,1167.731782,336485.7953,185067.1874,269129.2752,12584.81086,2.556882434,0.00199844,0.117644717,11.39886577,13.93572068,,
11314,9852.07,713.3191247,1160.736595,330672.2469,181869.7358,263742.9912,12318.678,2.556839324,0.002026074,0.121806376,11.74397945,14.38096543,,
11315,9851.98,713.3126084,1152.312384,352633.7452,193948.5599,280307.781,13074.01712,2.556995486,0.00192597,0.107143734,10.47066708,12.74534997,,
11316,9850.68,713.2184846,1126.76523,390624.5564,214843.506,307265.8944,14269.63772,2.557228219,0.001776783,0.087364003,8.444589539,10.18258374,,
11317,9850.71,713.2206567,1148.731387,345294.6647,189912.0656,274085.5213,12776.1395,2.556945277,0.001958156,0.11173418,10.88713869,13.2781736,,
11318,9850.74,713.2228288,1159.290668,333761.521,183568.8366,277154.0449,12941.96246,2.55570446,0.002753551,0.264810204,11.55984015,14.14322021,,
11319,9850.77,713.2250008,1158.822969,322958.7936,177627.3365,257402.975,12018.73402,2.556779988,0.00206411,0.127678153,12.21136467,14.98626884,,
11320,9850.79,713.2264489,1155.995192,300349.0585,165191.9822,239110.5127,11159.36471,2.556590459,0.002185603,0.147567285,13.6485808,16.8644241,,
