Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9316,8934.7,707.5455761556,1528.8506529777428,75476.94573080445,41512.320151942455,75623.46330826629,3724.609475258844,2.5489431023930442,0.007087754876253563,2.8995184743461793,40.99745349780224,58.22025263455594,99.2
9317,8935.3,707.5930906043998,1524.4193939865427,70894.87056389301,38992.17881014116,70895.7781276464,3489.8098444552847,2.5484937932841625,0.007375773535793052,3.2071150962865196,42.237635114076504,60.39028416599349,98.4
9318,8936.0,707.648524128,1531.8927960201427,70246.6191336876,38635.640523528185,70471.7949074072,3472.208434552675,2.548426374585316,0.007418990650438226,3.2548957783496055,42.41953417544584,60.71105575800559,97.7
9319,8936.6,707.6960385767999,1542.9472960882283,71517.84819893847,39334.81650941617,72085.08560927058,3556.618708976036,2.5485576399189225,0.007334846205818673,3.162259483540571,42.06438837616137,60.085366383681816,96.9
9320,8937.4,707.7593911752,1587.2885227173429,89126.60760252904,49019.634181390975,91515.8723048899,4540.024695591499,2.55005239567751,0.006376669437493766,2.218716350529692,37.7057572379623,52.60052296479534,93.0
9321,8938.4,707.8385819231999,1557.8457983574856,69534.46364853407,38243.955006693745,70525.03261970136,3486.0930736260725,2.5483511266261734,0.007467226521683772,3.3087308187013753,42.621309845681594,61.06763088081281,89.1
9322,8939.4,707.9177726711999,1544.4186879504857,79493.37724616284,43721.35748538956,80166.45534607928,3956.073022050249,2.54930175078056,0.006857852063743444,2.667326645664715,39.97079096226538,56.44593678181006,93.0
9323,8940.4,707.9969634191999,1534.2806767884858,72931.67971179025,40112.42384148464,73229.40007033068,3609.160648563908,2.5486992184367225,0.0072440907456906645,3.064152917992328,41.676743527487666,59.40520039372788,98.8
9324,8941.4,708.0761541671999,1534.3598675364858,72146.45663121909,39680.5511471705,72440.97156657434,3570.3379063201264,2.5486211479721868,0.007294135915265018,3.118020346701881,41.89109868973148,59.78095281594154,104.6
9325,8942.4,708.1553449151999,1533.5393046916286,70347.49179662252,38691.12048814239,70607.4588411823,3479.612572346167,2.5484369321756155,0.0074122229643489145,3.2473852116817397,42.39111934635394,60.660905056540386,96.9
9326,8943.4,708.2345356632,1527.9000614939143,71875.83797295412,39531.71088512477,71964.64413643868,3543.980626191926,2.548593918878309,0.007311590462622772,3.136941718164927,41.96551482972708,59.91160681444169,93.0
9327,8944.4,708.3137264111998,1576.4959654211998,72254.26830094426,39739.84756551935,73843.16759235522,3658.4863028553846,2.548631949267335,0.007287212008118627,3.110533753320045,41.861529794607165,59.72906768803881,94.9
9328,8945.4,708.3929171591999,1580.1841678027713,76888.82267464744,42288.852471056096,78697.55666759942,3900.7473582756616,2.5490726666581023,0.007004700860190758,2.8142839373239,40.630458209736915,57.58371842404488,98.8
9329,8946.4,708.4721079071999,1573.3952394586288,81137.4824158516,44625.615328718384,82809.2594897588,4101.147009908098,2.5494401365595785,0.006769143231039658,2.58085258289449,39.5654183577369,55.75079133242284,104.6
9330,8947.4,708.5512986551998,1567.7459989987713,86880.52688194506,47784.289785069785,88458.72214038814,4377.903972061602,2.5498895958072296,0.0064810283286989056,2.3117852513999284,38.211182892248864,53.45047980826486,98.8
9331,8948.4,708.6304894031998,1560.6171637417713,83145.59494726505,45730.07722099579,84400.34043889704,4173.38596182744,2.5496030624871833,0.006664703533857069,2.4812450824473635,39.081295636672074,54.92459226541938,96.9
9332,8949.4,708.7096801511999,1578.6414400362,89050.91996054178,48978.00597829798,91075.4044270167,4513.42240252848,2.55004701923479,0.006380115875134762,2.2217530486573405,37.72258051863651,52.62873995814316,93.0
9333,8950.4,708.7888708992,1579.570398066343,81102.13420713223,44606.17381392273,82975.19450302538,4112.4663532212835,2.5494372096042057,0.006771019484483678,2.582663742725654,39.574047132320324,55.7655564205369,96.9
9334,8951.4,708.8680616471999,1589.146987850057,84248.75602571254,46336.815814141904,86534.03474661309,4293.847571306978,2.5496898541331983,0.0066090678633344314,2.4291489832338597,38.82029411593846,54.48096019891649,106.6
